city,state,event,summary,date-of-event,event-picture-caption,event-picture-link,lat,lon
Georgia,Georgia,Flooding,At least 15 people died in Georgia including a first responder due to flooding.,2024-09-23,Flooding in Georgia,,33.7489,-84.3879
Wheeler County,Georgia,Tornado,A suspected tornado in Wheeler County central Georgia left two people dead when it picked up and overturned a mobile home.,2024-09-23,Tornado in Wheeler County Georgia,,32.0833,-82.6667
South Carolina,South Carolina,Flooding,At least 17 people were killed in South Carolina due to flooding.,2024-09-23,Flooding in South Carolina,,33.8361,-81.1637
North Carolina,North Carolina,Flooding,At least seven fatalities were reported in North Carolina due to flooding.,2024-09-23,Flooding in North Carolina,,35.7596,-78.6382
Virginia,Virginia,Flooding,One person was killed in Virginia due to flooding.,2024-09-23,Flooding in Virginia,,37.7749,-77.4753
Florida,Florida,Hurricane,Tropical Storm Helene is expected to strengthen into a hurricane as it continues its path over the Gulf of Mexico toward Florida. A hurricane watch and warnings of storm surges up to 15 feet were issued yesterday for almost all of Florida’s western coastline. The storm is forecast to make landfall tomorrow potentially as a Category 3 hurricane.,2024-09-26,Tropical Storm Helene,https://media-cldnry.s-nbcnews.com/image/upload/t_fit-760wf_autoq_auto:best/rockcms/2024-09/240919-china-temu-factory-wc-0836-8a87f5.jpg,27.6648,-81.5158
Tallahassee,Florida,Hurricane,Hurricane Helene is expected to make landfall south of Tallahassee bringing extreme winds excessive rainfall storm surge inundation and risk of tornadoes.,2024-09-25,Projected path of Helene as of early Wednesday morning,https://www.forbes.com/sites/marshallshepherd/2024/09/25/why-helene-is-particularly-worrisome-for-meteorologists/?utm_source=forbes&utm_medium=recirc&utm_campaign=tiger-sept23,30.4518,-84.2723
Tampa Bay,Florida,Storm Surge,Storm surge values could reach 8 feet in Tampa Bay and exceed a foot just to the right of the expected landfall location.,2024-09-25,Peak storm surge forecast,https://www.forbes.com/sites/marshallshepherd/2024/09/25/why-helene-is-particularly-worrisome-for-meteorologists/?utm_source=forbes&utm_medium=recirc&utm_campaign=tiger-sept23,27.9707,-82.4572
Atlanta,Georgia,Tropical Storm,Places like Atlanta and Athens will experience tropical storm conditions with power outages downed trees and flooding expected on Thursday and Friday.,2024-09-25,Tropical storm watches and warnings extend well into Georgia and will likely be expanded to the Atlanta area.,https://www.forbes.com/sites/marshallshepherd/2024/09/25/why-helene-is-particularly-worrisome-for-meteorologists/?utm_source=forbes&utm_medium=recirc&utm_campaign=tiger-sept23,33.7489,-84.3879
Gainesville,Florida,Flooding,Flooding is expected in Gainesville as Helene makes landfall in Florida. Residents are urged to make preparations and evacuate if necessary.,2024-09-26,Flooding in Gainesville,https://www.wuft.org/weather/2024-09-24/live-updates-florida-prepares-for-tropical-storm-helene,29.6516,-82.3248
Jacksonville,Florida,Flooding,Flooding is expected in Jacksonville as Helene makes landfall in Florida. Residents are urged to make preparations and evacuate if necessary.,2024-09-26,Flooding in Jacksonville,https://jaxtoday.org/,30.3321,-81.6556
Fort Myers,Florida,Flooding,Flooding is expected in Fort Myers as Helene makes landfall in Florida. Residents are urged to make preparations and evacuate if necessary.,2024-09-26,Flooding in Fort Myers,https://news.wgcu.org/section/weather/2024-09-24/southwest-florida-communities-set-warnings-in-advance-of-storm,26.6406,-81.8723
Orlando,Florida,Flooding,Flooding is expected in Orlando as Helene makes landfall in Florida. Residents are urged to make preparations and evacuate if necessary.,2024-09-26,Flooding in Orlando,https://www.cfpublic.org/live-updates/hurricane-helene-school-closures-sandbag-sites-throughout-central-florida,28.5384,-81.3789
Tampa,Florida,Flooding,Flooding is expected in Tampa as Helene makes landfall in Florida. Residents are urged to make preparations and evacuate if necessary.,2024-09-26,Flooding in Tampa,https://www.wusf.org/live-updates/helene,27.9709,-82.4584
Tallahassee,Florida,Flooding,Flooding is expected in Tallahassee as Helene makes landfall in Florida. Residents are urged to make preparations and evacuate if necessary.,2024-09-26,Flooding in Tallahassee,https://news.wfsu.org/tags/fpren,30.4518,-84.2727
Atlanta,Georgia,Flooding,Flooding is expected in Atlanta as Helene moves inland. Residents are urged to make preparations and evacuate if necessary.,2024-09-27,Flooding in Atlanta,https://www.wabe.org/extreme-weather/,33.7489,-84.3879
Knoxville,Tennessee,Flooding,Flooding is expected in Knoxville as Helene moves inland. Residents are urged to make preparations and evacuate if necessary.,2024-09-27,Flooding in Knoxville,https://www.wuot.org/,35.9606,-83.9207
Columbia,South Carolina,Flooding,Flooding is expected in Columbia as Helene moves inland. Residents are urged to make preparations and evacuate if necessary.,2024-09-27,Flooding in Columbia,https://www.southcarolinapublicradio.org/sc-news/2024-09-24/helene-is-expected-to-have-major-impacts-for-parts-of-south-carolina-heres-what-you-need-to-know,33.9984,-81.0348
Florida,Florida,Tropical Storm Helene,Tropical Storm Helene is forecasted to become a Category 3 Hurricane by Thursday prompting evacuations and a state of emergency declaration by Gov. Ron DeSantis.,2024-09-23,Tropical Storm Helene,,27.6648,-81.5158
Perry,Florida,Landfall,Hurricane Helene made landfall as a Category 4 storm on Thursday near the city of Perry in Florida's Big Bend area.,2024-09-26,Hurricane Helene makes landfall in Florida,https://www.forbes.com/images/124.jpg,29.5733,-83.5833
Asheville,North Carolina,Flooding,Mandatory evacuations were ordered in Asheville and McDowell counties in North Carolina as rivers and reservoirs are expected to swell from heavy rainfall.,2024-09-27,Flooding in Asheville North Carolina,https://www.forbes.com/images/125.jpg,35.5951,-82.5515
Louisville,Kentucky,Flooding,The center of Helene which became post-tropical Friday afternoon was located about 50 miles south-southeast of Louisville Kentucky as of 5 p.m. EDT on Friday.,2024-09-27,Flooding in Louisville Kentucky,https://www.forbes.com/images/126.jpg,38.2527,-85.7585
Lake Lure,North Carolina,Dam Failure,Officials have said failure of the Lake Lure Dam is 'imminent' and have urged any residents to evacuate and seek higher ground.,2024-09-27,Lake Lure Dam failure imminent,https://www.forbes.com/images/127.jpg,35.4333,-82.2167
Asheville,North Carolina,Flooding,The mountain town of Asheville was largely cut off due to flooding with supplies being airlifted to residents.,2024-09-23,Flooding in Asheville North Carolina,https://ichef.bbci.co.uk/news/480/cpsprodpb/2fb4/live/29a520b0-7d2e-11ef-abc6-3bdcb7459e60.jpg.webp,35.5951,-82.5515
Tennessee,Tennessee,Flooding,58 patients and staff were left stranded on the roof of a hospital in the city of Erwin due to flooding and were later rescued by helicopters.,2024-09-23,Flooding in Tennessee,,36.1042,-82.4168
Pasco County,Florida,Flooding,65 people were rescued in Pasco County north of Tampa due to flooding.,2024-09-23,Flooding in Pasco County Florida,,28.3403,-82.4347
Manatee County,Florida,Flooding,Guests at a Ramada Inn in Manatee County were rescued as floodwaters rushed into the hotel.,2024-09-23,Flooding in Manatee County Florida,,27.4853,-82.5347
Suwannee County,Florida,Flooding,Authorities reported 'extreme destruction' in Suwannee County with trees falling onto homes.,2024-09-23,Flooding in Suwannee County Florida,,30.2369,-83.1737
Cedar Key,Florida,Flooding,Floating debris was seen in Cedar Key Florida due to flooding.,2024-09-23,Floating debris in Cedar Key Florida,https://ichef.bbci.co.uk/news/480/cpsprodpb/8e0e/live/a068e010-7d2e-11ef-8108-311820a0bb34.jpg.webp,29.1383,-83.0354
Holmes Beach,Florida,Flooding,A family in Holmes Beach saw water creeping into their home and had to swim out to safety.,2024-09-23,Flooding in Holmes Beach Florida,,27.4953,-82.7106
Pinellas County,Florida,Flooding,At least five people died in Pinellas County including the city of St Petersburg due to flooding.,2024-09-23,Flooding in Pinellas County Florida,,27.9142,-82.6456
Georgia,Georgia,Flooding,At least 15 people died in Georgia including a first responder due to flooding.,2024-09-23,Flooding in Georgia,,33.7489,-84.3879
Wheeler County,Georgia,Tornado,A suspected tornado in Wheeler County central Georgia left two people dead when it picked up and overturned a mobile home.,2024-09-23,Tornado in Wheeler County Georgia,,32.0833,-82.6667
South Carolina,South Carolina,Flooding,At least 17 people were killed in South Carolina due to flooding.,2024-09-23,Flooding in South Carolina,,33.8361,-81.1637
North Carolina,North Carolina,Flooding,At least seven fatalities were reported in North Carolina due to flooding.,2024-09-23,Flooding in North Carolina,,35.7596,-78.6382
Virginia,Virginia,Flooding,One person was killed in Virginia due to flooding.,2024-09-23,Flooding in Virginia,,37.7749,-77.4753
Tallahassee,Florida,Hurricane,Hurricane Helene is expected to make landfall in the Big Bend region of Florida posing a 'nightmare surge scenario' for Apalachee Bay. The storm's center is forecast to make landfall late Thursday or early Friday morning with sustained winds of 105 mph and a large wind field that will bring impacts across much of the state.,2024-09-25,Jerry McCullen top of ladder left and Carson Baze top of ladder right put plywood over the windows of a house ahead of Hurricane Helene in Alligator Point Fla.,https://www.bostonherald.com/wp-content/uploads/2024/09/AP22433391435193.jpg,30.4518,-84.2723
Alligator Point,Florida,Hurricane,Residents in Alligator Point Florida are preparing for the arrival of Hurricane Helene with some boarding up their homes and others evacuating the area.,2024-09-25,Paulette McLin takes in the scene outside their summer home ahead of Hurricane Helene in Alligator Point Fla.,https://www.bostonherald.com/wp-content/uploads/2024/09/AP22433391435194.jpg,29.8961,-84.3669
Fort Lauderdale,Florida,Hurricane,Parts of South Florida including Fort Lauderdale recorded wind gusts as high as 55 mph Wednesday night with one reported gust early Thursday at 64 mph as Helene's strong outer bands began to move through the region.,2024-09-25,A traffic advisory sign on westbound S.R. 408 near downtown Orlando Fla. informs commuters of the approaching Hurricane Helene.,https://www.bostonherald.com/wp-content/uploads/2024/09/AP22433391435195.jpg,26.1223,-80.1372
Asheville,North Carolina,Flooding,Asheville was particularly hard hit as rising floodwaters damaged roads led to power outages and cut off cellphone service. The city was left with over 95000 homes and businesses without power.,2024-09-30,Storm Helene Causes Massive Flooding Across Swath Of Western North Carolina,https://assets1.cbsnewsstatic.com/hub/i/r/2024/09/30/4dfd6edc-c9e7-41f2-8e61-4b4a6b2ccb35/thumbnail/620x396/6e0b79adbd73099f0b086d89764f57c0/gettyimages-2175040530.jpg?v=379420b9063a2aadbcd559df18e2d1ae,35.5904,-82.5523
Old Fort,North Carolina,Flooding,Leo Grindstaff 12 left helps his brother Gabe 4 while walking to their grandparent's house to help salvage items in the aftermath of Hurricane Helene on Sept. 30 2024 in Old Fort North Carolina.,2024-09-30,Storm Helene Causes Massive Flooding Across Swath Of Western North Carolina,https://assets1.cbsnewsstatic.com/hub/i/r/2024/09/30/8ca136d5-993c-4e1d-8a72-dc57d124f9cb/thumbnail/620x413/477573c61f205afbefcae214f49a4eb6/gettyimages-2174968865.jpg?v=379420b9063a2aadbcd559df18e2d1ae,35.6304,-82.1767
Rutherfordton,North Carolina,Flooding,Downed trees on a home in the aftermath of Hurricane Helene on Sept. 29 in Rutherfordton North Carolina.,2024-09-29,Storm Helene Causes Massive Flooding Across Swath Of Western North Carolina,https://assets2.cbsnewsstatic.com/hub/i/r/2024/09/30/cafa6200-9683-4687-8773-79aafa719cef/thumbnail/620x413/fd54eb28fee813acaec28306861cef95/gettyimages-2174768305.jpg?v=379420b9063a2aadbcd559df18e2d1ae,35.3693,-81.9593
Fletcher,North Carolina,Flooding,People waiting in line for gasoline in the aftermath of Hurricane Helene on Sept. 29 in Fletcher North Carolina.,2024-09-29,Storm Helene Causes Massive Flooding Across Swath Of Western North Carolina,https://assets3.cbsnewsstatic.com/hub/i/r/2024/09/30/de87e62a-fef1-4af0-8cad-151269180135/thumbnail/620x413/45b521ff20c45b79dc0761727cf6d882/gettyimages-2174768474.jpg?v=379420b9063a2aadbcd559df18e2d1ae,35.4304,-82.5067
Gulfport,Florida,Flooding,A man crosses a storm surge flooded area on the coast of Gulfport Florida as Hurricane Helene passed through the Gulf of Mexico to the west on Sept. 26 2024.,2024-09-26,A man crosses a storm surge flooded area on the coast of Gulfport Florida as Hurricane Helene passed through the Gulf of Mexico to the west on Sept. 26 2024.,https://assets2.cbsnewsstatic.com/hub/i/r/2024/09/27/f2c29bc1-165c-44b1-a27a-b1eea9a82eb3/thumbnail/620x413/b2c255aa1f62561b8f99c19eb796ed00/gettyimages-2173844169.jpg?v=379420b9063a2aadbcd559df18e2d1ae,27.7343,-82.7073
Sarasota,Florida,Flooding,A drone view shows a flooded St. Armands Circle after the area was hit by Helene in Sarasota Florida Sept. 27 2024 in this still image obtained from social media video.,2024-09-27,A drone view shows a flooded St. Armands Circle after the area was hit by Helene in Sarasota Florida Sept. 27 2024 in this still image obtained from social media video.,https://assets3.cbsnewsstatic.com/hub/i/r/2024/09/27/0a4b6d01-e767-4aec-a593-cdd5747cc240/thumbnail/620x349/982effb788c2327e7091f930eed08320/2024-09-27t143719z-1731320013-rc229aa0lryn-rtrmadp-3-storm-helene-florida-drone.jpg?v=379420b9063a2aadbcd559df18e2d1ae,27.3364,-82.5387
Tampa,Florida,Flooding,Streets were under water and boats had washed up on land. One home was gutted by flames.,2024-09-27,Streets were under water and boats had washed up on land. One home was gutted by flames.,,27.9704,-82.4584
Atlanta,Georgia,Flooding,An apartment complex flooded and neighbors had to rescue each other.,2024-09-27,An apartment complex flooded and neighbors had to rescue each other.,,33.7489,-84.3879
Perry,Florida,Hurricane Landfall,Hurricane Helene made landfall as a Category 4 storm in Florida's Big Bend area.,2024-09-27,Hurricane Helene makes landfall in Florida,https://www.forbes.com/images/124.jpg,29.7833,-83.5833
Asheville,North Carolina,Flooding,Mandatory evacuations were ordered in Asheville and McDowell counties in North Carolina as rivers and reservoirs are expected to swell from heavy rainfall.,2024-09-27,Flooding in Asheville North Carolina,https://www.forbes.com/images/125.jpg,35.5951,-82.5515
Lake Lure,North Carolina,Dam Failure,Officials have said failure of the Lake Lure Dam is 'imminent' and have urged any residents to evacuate and seek higher ground.,2024-09-27,Lake Lure Dam failure imminent,https://www.forbes.com/images/126.jpg,35.4333,-82.2167
Tampa,Florida,Airport Closure,The Tampa International Airport closed to the public at 2 a.m. EDT Thursday in anticipation of Hurricane Helene but resumed operations Friday morning.,2024-09-27,Tampa International Airport closure,https://www.forbes.com/images/127.jpg,27.9753,-82.5333
Louisville,Kentucky,Flooding,The remnants of Hurricane Helene have moved far inland since making landfall in Florida's Big Bend as a Category 4 storm on Thursday moving through Tennessee and progressing into Kentucky on Friday while bringing 'historic and catastrophic flooding' to the southern Appalachians.,2024-09-27,Flooding in Louisville Kentucky,https://www.forbes.com/images/128.jpg,38.2527,-85.7585
Siesta Key,Florida,Flooding,Water lapped over a road in Siesta Key near Sarasota and covered some intersections in St. Pete Beach.,2024-09-26,Flooding in Siesta Key,https://www.gettyimages.com/photos/siesta-key,27.2739,-82.5523
St. Pete Beach,Florida,Flooding,Vehicles drive along a flooded street as Hurricane Helene churns offshore.,2024-09-26,Flooding in St. Pete Beach,https://www.gettyimages.com/photos/st-pete-beach,27.7364,-82.7431
Valdosta,Georgia,Heavy Rain and Wind,Heavy rains began falling and winds were picking up earlier Thursday in Valdosta Georgia near the Florida state line.,2024-09-26,Heavy rain and wind in Valdosta,https://www.gettyimages.com/photos/valdosta,30.8327,-83.2785
Wheeler County,Georgia,Tornado,Two people were killed when a possible tornado struck a mobile home on Thursday night.,2024-09-26,Tornado damage in Wheeler County,https://www.gettyimages.com/photos/wheeler-county,32.0833,-82.6667
Panacea,Florida,Evacuation,Anthony Godwin 20 who lives about a half-mile from the water in the coastal town of Panacea stopped for gas before heading west toward his sister's house in Pensacola.,2024-09-26,Evacuation in Panacea,https://www.gettyimages.com/photos/panacea,30.0333,-84.3833
Apalachee Bay,Florida,Storm Surge,Federal authorities were staging search-and-rescue teams as the weather service forecast storm surges of up to 20 feet and warned they could be particularly 'catastrophic and unsurvivable' in Apalachee Bay.,2024-09-26,Storm surge in Apalachee Bay,https://www.gettyimages.com/photos/apalachee-bay,29.8333,-84.5
Cabo Catoche,Mexico,Hurricane Warning,A Hurricane Warning is in effect for Cabo Catoche to Tulum Mexico including Cozumel. The center of Helene is expected to pass near the northeastern coast of the Yucatan Peninsula Wednesday morning.,2024-09-25,Hurricane Helene approaches Mexico,https://www.gannett-cdn.com/authoring/authoring-images/2024/09/25/USAT/75370630007-clean.jpg?crop=19191079x0y0,21.6333,-87.0667
Cozumel,Mexico,Hurricane Warning,A Hurricane Warning is in effect for Cabo Catoche to Tulum Mexico including Cozumel. The center of Helene is expected to pass near the northeastern coast of the Yucatan Peninsula Wednesday morning.,2024-09-25,Hurricane Helene approaches Mexico,https://www.gannett-cdn.com/authoring/authoring-images/2024/09/25/USAT/75370630007-clean.jpg?crop=19191079x0y0,20.5167,-86.9333
Tulum,Mexico,Hurricane Warning,A Hurricane Warning is in effect for Cabo Catoche to Tulum Mexico including Cozumel. The center of Helene is expected to pass near the northeastern coast of the Yucatan Peninsula Wednesday morning.,2024-09-25,Hurricane Helene approaches Mexico,https://www.gannett-cdn.com/authoring/authoring-images/2024/09/25/USAT/75370630007-clean.jpg?crop=19191079x0y0,20.2167,-87.4667
Florida Big Bend,Florida,Landfall,Helene is expected to make landfall in the Florida Big Bend area Thursday evening bringing strong damaging winds and heavy rain.,2024-09-26,Hurricane Helene makes landfall in Florida,,29.6333,-83.0667
Tallahassee,Florida,Hurricane,Helene is expected to make landfall near Tallahassee with wind speeds of 70 mph (160 kph) and a 15 foot (4.6 meter) rise in the sea level due to storm conditions.,2024-09-26,Helene intensified as the storm passed over the Gulf of Mexico,https://p.dw.com/p/4l4hK,30.4513,-84.2727
Sarasota,Florida,Evacuation,Numerous evacuations are being ordered along Florida's Gulf coast including in the counties of Sarasota and Charlotte.,2024-09-25,People in Florida filled up sandbags on Wednesday ahead of Helene's predicted arrival the next day,https://p.dw.com/p/4l4hK,27.3364,-82.5387
Pinellas County,Florida,Evacuation,Officials in Pinellas County ordered evacuations of long-term healthcare facilities including nursing homes assisted living centers and hospitals near the coast.,2024-09-25,People in Florida filled up sandbags on Wednesday ahead of Helene's predicted arrival the next day,https://p.dw.com/p/4l4hK,27.7733,-82.6233
Orlando,Florida,Hurricane Helene,Hurricane Helene is expected to make landfall in Florida on Thursday evening with tropical storm conditions expected in southern and eastern Florida. Disney World has announced that Typhoon Lagoon will be closed on Thursday September 26th.,2024-09-26,Hurricane Helene,https://allears.net/wp-content/uploads/2024/09/nhc-noaa-2024-hurricane-helene-pathway-projection-cone-700x438.png,28.5383,-81.3789
Florida,Florida,Hurricane,Hurricane Helene has quickly intensified into a massive Category 4 storm with hurricane-force winds extending up to 60 miles outward from the eye. Forecasters warn that Helene could be deadly for those living in coastal Florida where it’s expected to make landfall this evening.,2024-09-26,An NOAA satellite image from early Thursday morning shows Hurricane Helene approaching the Florida coast.,https://platform.vox.com/wp-content/uploads/sites/2/2024/09/Helene-NOAA.jpg?quality=90&strip=all&crop=3.2797567332754%2C0%2C93.440486533449%2C100&w=2400,27.6648,-81.5158
Havana,Cuba,Storm,Storm clouds from Helene over Havana Cuba on September 24.,2024-09-24,Storm clouds from Helene over Havana Cuba on September 24.,https://platform.vox.com/wp-content/uploads/sites/2/2024/09/GettyImages-2173441112.jpg?quality=90&strip=all&crop=2.7785988767366%2C0%2C94.442802246527%2C100&w=2400,23.1333,-82.3833
Orlando,Florida,Hurricane Helene,Hurricane Helene is set to make landfall in Florida causing Disney's Typhoon Lagoon and miniature golf courses to close on September 26th. The rest of Disney World is operating with regular hours but this could change as the hurricane progresses.,2024-09-26,Typhoon Lagoon,https://allears.net/wp-content/uploads/2022/01/wdw-2021-typhoon-lagoon-water-park-stock-general-atmosphere-tilly-boat-shipwreck-4.jpg,28.5384,-81.3789
Tampa,Florida,Hurricane,Helene is expected to make landfall as a Category 4 hurricane with maximum sustained winds of 209km/h (130mph). The storm is anticipated to be unusually large and fast-moving meaning storm surges wind and rain will likely extend several hundred kilometres from the storm's centre.,2024-09-26,Tropical Storm Helene off the Gulf Coast of Florida near Mexico and Cuba on September 24 2024,/wp-content/uploads/2024/09/AP24268840169681-1727277102.jpg?resize=770%2C513&quality=80,27.9700,-82.4600
Cayman Islands,,Power Outage,The strong winds knocked out power in the Cayman Islands where heavy rain and waves reached as high as three metres (10 feet).,2024-09-25,,,19.3000,-81.3800
Havana,Cuba,Storm Surge,Many in Cuba worried about the storm whose outer bands are expected to reach the capital of Havana which is already struggling with chronic power outages.,2024-09-25,,,23.1300,-82.3800
Ochlockonee Bay,Florida,Evacuation,Some residents along the Gulf Coast in Florida's Panhandle are already evacuating to safer areas inland with memories still fresh of recent storm surge events.,2024-09-25,Dave McCurley boards up the windows to his home in advance of Tropical Storm Helene expected to make landfall as a hurricane in Ochlockonee Bay Florida Wednesday September 25 2024,/wp-content/uploads/2024/09/AP24269475303370-1727276909.jpg?w=770&resize=770%2C514,30.0700,-84.3800
Florida,Florida,Flooding,Hurricane Helene is expected to bring life-threatening storm surge damaging winds and flooding rains to a large portion of Florida and the southeast U.S.,2024-09-26,Satellite footage of the hurricane moving toward Florida.,https://cdn.mos.cms.futurecdn.net/xFwpjbYnshXHoAiKwKurEP.gif,27.6648,-81.5158
Florida,Florida,Tornadoes,Helene could spur one or two tornadoes over parts of the Florida Peninsula and southern Alabama with tornado risk as a whole increasing later on Thursday and expanding into areas of Georgia and South Carolina.,2024-09-26,A map showing where the hurricane warning is in effect.,https://cdn.mos.cms.futurecdn.net/vKmHCLHyD2ZpVRJv9WCTZW-320-80.png,27.6648,-81.5158
Albany,Georgia,High winds,A user in Albany GA reported waiting out the storm with 2 inches of rain so far and the storm still 250 miles south of them.,2024-09-26,A user in Albany GA reported waiting out the storm.,,31.5785,-84.1557
Perry,Florida,Landfall,Hurricane Helene made landfall in Florida late Thursday night as a dangerous Category 4 storm that will slam the sunshine state with torrential rainfall potentially 'unsurvivable' storm surge and life-threatening winds.,2024-09-26,Hurricane Helene makes landfall in Florida,,30.1143,-83.5773
Orlando,Florida,Hurricane Helene,Hurricane Helene is forecasted to strike Florida as a major Category 3 hurricane. Walt Disney World has announced closures cancellations and adjustments as a result of the storm.,2024-09-26,Hurricane Helene,https://www.disneytouristblog.com/wp-content/uploads/2024/09/tropical-storm-helene-hurricane-major-disney-world-5.png,28.5383,-81.3789
Orlando,Florida,Typhoon Lagoon Closure,Typhoon Lagoon water park will be closed on September 26 2024 due to inclement weather.,2024-09-26,Typhoon Lagoon,https://www.disneytouristblog.com/wp-content/uploads/2023/01/typhoon-lagoon-moonlight-magic-dvc-party-disney-world-1413.jpg,28.5383,-81.3789
Orlando,Florida,Mickey's Not So Scary Halloween Party Cancellation,The Mickey's Not So Scary Halloween Party happening on September 26 2024 at Magic Kingdom has been cancelled due to forecasted weather.,2024-09-26,Mickey's Not So Scary Halloween Party,https://www.disneytouristblog.com/wp-content/uploads/2022/08/parade-mickeys-not-so-scary-halloween-party-disney-world-221.jpg,28.5383,-81.3789
Orlando,Florida,Universal Orlando Resort Closures,Universal Orlando Resort is making operational changes for September 26 2024 including the cancellation of Halloween Horror Nights and the closure of Universal Volcano Bay.,2024-09-26,Universal Orlando Resort,https://www.disneytouristblog.com/wp-content/uploads/2021/08/halloween-horror-nights-30-universal-studios-florida-orlando-380.jpg,28.5383,-81.3789
Orlando,Florida,Theme park closures,Disney World and Universal Orlando are closing some of their water parks and other attractions due to Hurricane Helene approaching Florida. Busch Gardens in Tampa Bay has also decided to close for the day.,2024-09-26,Hurricane Helene approaching Florida,,28.5384,-81.3789
Tampa Bay,Florida,Theme park closure,Busch Gardens in Tampa Bay has decided to close for the day due to Hurricane Helene approaching Florida.,2024-09-26,Busch Gardens in Tampa Bay,,27.9653,-82.5236
Pinellas Park,Florida,Preparation,People fill sandbags at Helen Howarth Park ahead of the possible arrival of Hurricane Helene on September 25 2024.,2024-09-25,People preparing sandbags ahead of Hurricane Helene landfall,https://static.scientificamerican.com/dam/m/2e1a225e8511e097/original/People_preparing_sandbags.jpg?m=1727394820.302&w=600,27.8539,-82.6993
Florida,Florida,Storm Surge,Helene is expected to bring substantial storm surges to the coast of Florida with up to 20 feet of water in the worst-hit areas.,2024-09-25,,,27.6648,-81.5158
Big Bend,Florida,Landfall,Helene is expected to make landfall in Florida's Big Bend area bringing strong winds and heavy rains.,2024-09-25,,,29.7233,-83.1631
Tennessee,Tennessee,Flooding,Helene will bring substantial flooding threats from heavy rains far inland with the southern Appalachians being the most affected area.,2024-09-25,,,35.5175,-86.5804
Alligator Point,Florida,Hurricane Helene,Residents of Florida's Gulf Coast prepare for Hurricane Helene. Paulette McLin takes in the scene outside their summer home ahead of Hurricane Helene expected to make landfall Thursday evening.,2024-09-25,Paulette McLin takes in the scene outside their summer home ahead of Hurricane Helene,https://www.apnews.com/images/124.jpg,29.8953,-84.4153
Tallahassee,Florida,Potential Category 3 Storm,Hurricane Helene could make history in Tallahassee as the first Category 3 storm to hit the area. The storm appears to be on a path towards the city with Leon County administrator Vincent Long discussing the potential impact.,2024-09-23,Hurricane Helene's potential impact on Tallahassee,,30.4513,-84.2727
Orlando,Florida,Theme Park Closure,Walt Disney World has suspended operations at several resort locations due to Hurricane Helene. Typhoon Lagoon will not be opened and other closures have been confirmed including Mickey's Not-So-Scary Halloween Party.,2024-09-26,Stormy weather at Magic Kingdom in Disney World,https://insidethemagic.net/wp-content/uploads/2023/10/Untitled-design-73.jpg,28.5384,-81.3792
Orlando,Florida,Tropical Storm Warning,A tropical storm warning has been issued for all of Central Florida including Eastern Marion County Volusia County Lake County Sumter County Seminole County Orange County Osceola County Polk County Brevard County and Flagler County.,2024-09-26,Lightning over Cinderella Castle at the Magic Kingdom hub,https://insidethemagic.net/wp-content/uploads/2023/09/N-18.jpg,28.5384,-81.3792
Tampa,Florida,Theme Park Closure,Busch Gardens Tampa Bay has confirmed it will close due to Hurricane Helene.,2024-09-26,Stormy weather at Busch Gardens Tampa Bay,,27.8653,-82.4231
Tallahassee,Florida,Hurricane,Hurricane Helene could make history in Tallahassee as a Category 3 storm with the potential to be the first of that magnitude to hit the city.,2024-09-25,Hurricane Helene could make history in Tallahassee,https://s.yimg.com/cv/apiv2/default/20190501/placeholder.gif,30.4518,-84.2727
